
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36055,"Monroe, NY",1,Real GDP (thousands of chained 2017 dollars),44331667,45090157,45807122,45310139,44931017,45394415,45781158,46114631,46343178,47219831,46187803,46324111,45589939,45404640,46201818,46260004,46562059,46700066,48455221,46524210,48488895,49325244
36055,"Monroe, NY",2,Chain-type quantity indexes for real GDP,95.210,96.839,98.379,97.311,96.497,97.492,98.323,99.039,99.530,101.413,99.196,99.489,97.912,97.514,99.226,99.351,100.000,100.296,104.066,99.919,104.138,105.934
36055,"Monroe, NY",3,Current-dollar GDP (thousands of current dollars),32845299,33904159,34878911,35112504,35649729,36986626,38125420,39174097,40770933,41554291,41201653,42327162,42396304,42950283,44757621,45699167,46562059,47596424,50417812,49613611,53070605,57088125
36057,"Montgomery, NY",1,Real GDP (thousands of chained 2017 dollars),1555089,1580867,1652411,1631244,1645831,1635950,1689099,1684093,1699400,1757132,1679989,1711399,1764627,1773294,1750685,1836688,1854588,1888265,1954214,1860695,1877330,1954212
36057,"Montgomery, NY",2,Chain-type quantity indexes for real GDP,83.851,85.241,89.099,87.957,88.744,88.211,91.077,90.807,91.632,94.745,90.586,92.279,95.149,95.617,94.398,99.035,100.000,101.816,105.372,100.329,101.226,105.372
36057,"Montgomery, NY",3,Current-dollar GDP (thousands of current dollars),1137641,1177509,1250805,1275013,1317861,1356026,1444251,1467963,1507621,1571612,1525326,1583136,1655816,1689779,1696152,1802042,1854588,1931304,2036223,1980507,2111805,2381849
36059,"Nassau, NY",1,Real GDP (thousands of chained 2017 dollars),81131101,82471351,84104166,87058747,87524457,88385007,91043704,92290343,94207268,97401895,96803224,99436369,96864840,97250567,98758548,100104119,100715893,100324947,101628423,97965888,100751877,102601384
36059,"Nassau, NY",2,Chain-type quantity indexes for real GDP,80.554,81.885,83.506,86.440,86.902,87.757,90.397,91.634,93.538,96.710,96.115,98.730,96.176,96.559,98.057,99.393,100.000,99.612,100.906,97.270,100.036,101.872
36059,"Nassau, NY",3,Current-dollar GDP (thousands of current dollars),58317784,60500632,62987207,66890027,68943307,71742229,75828051,77958724,80725672,84365733,84923654,89132993,88651793,90993844,94761573,98251928,100715893,102890727,106764509,105605871,112432682,121290784
36061,"New York, NY",1,Real GDP (thousands of chained 2017 dollars),509411971,485937445,475037039,485710419,516143664,546123247,546133887,504340908,548920749,574295954,585070202,627212574,629682393,652200331,666022941,682756899,708516749,726431074,745306426,722111514,766795323,780965530
